date,price
Mon Jan 15 11:54:22 2018,13734
Mon Jan 15 11:49:22 2018,13690.9
Mon Jan 15 11:44:21 2018,13670.7
Mon Jan 15 11:39:19 2018,13678.6
Mon Jan 15 11:34:22 2018,13707.2
Mon Jan 15 11:29:21 2018,13739.4
Mon Jan 15 11:24:22 2018,13736.3
Mon Jan 15 11:19:22 2018,13758.2
Mon Jan 15 11:14:23 2018,13817.5
Mon Jan 15 11:09:22 2018,13840.7
Mon Jan 15 11:04:22 2018,13878.3
Mon Jan 15 10:59:22 2018,13892.7
Mon Jan 15 10:54:22 2018,13895.9
Mon Jan 15 10:49:23 2018,13866.9
Mon Jan 15 10:44:22 2018,13866.2
Mon Jan 15 10:39:21 2018,13821.5
Mon Jan 15 10:34:22 2018,13816.1
Mon Jan 15 10:29:22 2018,13834.6
Mon Jan 15 10:24:22 2018,13861
Mon Jan 15 10:19:23 2018,13924.9
Mon Jan 15 10:14:22 2018,13951.7
Mon Jan 15 10:09:22 2018,13913.9
Mon Jan 15 10:04:21 2018,13908.3
Mon Jan 15 09:59:21 2018,13874.6
Mon Jan 15 09:54:22 2018,13861.7
Mon Jan 15 09:49:21 2018,13853.7
Mon Jan 15 09:44:21 2018,13820.5
Mon Jan 15 09:39:22 2018,13777.1
Mon Jan 15 09:34:21 2018,13758.7
Mon Jan 15 09:29:22 2018,13749.6
Mon Jan 15 09:24:22 2018,13774
Mon Jan 15 09:19:23 2018,13778.1
Mon Jan 15 09:14:22 2018,13754.1
Mon Jan 15 09:09:22 2018,13762.9
Mon Jan 15 09:04:22 2018,13767.3
Mon Jan 15 08:34:20 2018,13847.2
Mon Jan 15 08:29:21 2018,13807.8
Mon Jan 15 08:24:22 2018,13792.4
Mon Jan 15 08:19:22 2018,13791.1
Mon Jan 15 08:14:23 2018,13778.5
Mon Jan 15 08:09:21 2018,13731.5
Mon Jan 15 08:04:21 2018,13717.5
Mon Jan 15 07:59:22 2018,13676.8
Mon Jan 15 07:54:22 2018,13664.9
Mon Jan 15 07:49:22 2018,13658.4
Mon Jan 15 07:44:23 2018,13647.5
Mon Jan 15 07:39:22 2018,13626.6
Mon Jan 15 07:34:23 2018,13612.6
Mon Jan 15 07:29:22 2018,13610.5
Mon Jan 15 07:24:22 2018,13605.7
Mon Jan 15 07:19:22 2018,13606
Mon Jan 15 07:14:22 2018,13600.2
Mon Jan 15 07:09:23 2018,13586.2
Mon Jan 15 07:04:22 2018,13581.4
Mon Jan 15 06:59:22 2018,13586.2
Mon Jan 15 06:54:22 2018,13566.2
Mon Jan 15 06:49:22 2018,13590.6
Mon Jan 15 06:44:22 2018,13618.9
Mon Jan 15 06:39:22 2018,13630.8
Mon Jan 15 06:34:22 2018,13626.4
Mon Jan 15 06:29:22 2018,13604.1
Mon Jan 15 06:24:22 2018,13590.8
Mon Jan 15 06:19:22 2018,13589.2
Mon Jan 15 06:14:21 2018,13609.7
Mon Jan 15 06:09:21 2018,13627.3
Mon Jan 15 06:04:23 2018,13638.4
Mon Jan 15 05:59:22 2018,13603.9
Mon Jan 15 05:54:21 2018,13567
Mon Jan 15 05:49:22 2018,13518.7
Mon Jan 15 05:44:22 2018,13506.1
Mon Jan 15 05:39:22 2018,13495.2
Mon Jan 15 05:34:21 2018,13505.6
Mon Jan 15 05:29:23 2018,13542.3
Mon Jan 15 05:24:22 2018,13572.6
Mon Jan 15 05:19:22 2018,13575.1
Mon Jan 15 05:14:21 2018,13534.8
Mon Jan 15 05:09:23 2018,13507.9
Mon Jan 15 05:04:21 2018,13526
Mon Jan 15 04:59:22 2018,13557.7
Mon Jan 15 04:54:21 2018,13582.1
Mon Jan 15 04:49:21 2018,13615.6
Mon Jan 15 04:44:22 2018,13648
Mon Jan 15 04:39:22 2018,13657.5
Mon Jan 15 04:34:22 2018,13683.9
Mon Jan 15 04:29:21 2018,13700.6
Mon Jan 15 04:24:22 2018,13707.9
Mon Jan 15 04:19:22 2018,13713.2
Mon Jan 15 04:14:23 2018,13711.6
Mon Jan 15 04:09:22 2018,13703.9
Mon Jan 15 04:04:22 2018,13683.3
Mon Jan 15 03:59:22 2018,13665
Mon Jan 15 03:54:21 2018,13662
Mon Jan 15 03:49:22 2018,13679.9
Mon Jan 15 03:44:22 2018,13720.7
Mon Jan 15 03:39:21 2018,13708
Mon Jan 15 03:34:21 2018,13716.5
Mon Jan 15 03:29:22 2018,13719.8
Mon Jan 15 03:24:22 2018,13719.6
Mon Jan 15 03:19:20 2018,13710.9
Mon Jan 15 03:14:22 2018,13677.2
Mon Jan 15 03:09:21 2018,13647.2
Mon Jan 15 03:04:21 2018,13669.2
Mon Jan 15 02:59:22 2018,13664.9
Mon Jan 15 02:54:21 2018,13622.9
Mon Jan 15 02:49:21 2018,13536
Mon Jan 15 02:44:21 2018,13510
Mon Jan 15 02:39:22 2018,13495.6
Mon Jan 15 02:34:22 2018,13486
Mon Jan 15 02:29:21 2018,13451.3
Mon Jan 15 02:24:20 2018,13429.2
Mon Jan 15 02:19:21 2018,13452.6
Mon Jan 15 02:14:21 2018,13462.8
Mon Jan 15 02:09:21 2018,13475.7
Mon Jan 15 02:04:21 2018,13475.1
Mon Jan 15 01:59:20 2018,13431.8
Mon Jan 15 01:54:22 2018,13395
Mon Jan 15 01:49:22 2018,13387.7
Mon Jan 15 01:44:21 2018,13403.8
Mon Jan 15 01:39:21 2018,13411.6
Mon Jan 15 01:34:21 2018,13420.7
Mon Jan 15 01:29:21 2018,13394.7
Mon Jan 15 01:24:22 2018,13364.6
Mon Jan 15 01:19:22 2018,13296.4
Mon Jan 15 01:14:21 2018,13288.5
Mon Jan 15 01:09:22 2018,13300.9
Mon Jan 15 01:04:20 2018,13363.1
Mon Jan 15 00:59:21 2018,13346.5
Mon Jan 15 00:54:21 2018,13318.5
Mon Jan 15 00:49:21 2018,13272.4
Mon Jan 15 00:44:21 2018,13268
Mon Jan 15 00:39:21 2018,13328.9
Mon Jan 15 00:34:21 2018,13415.1
Mon Jan 15 00:29:21 2018,13472.3
Mon Jan 15 00:24:23 2018,13515.3
Mon Jan 15 00:19:22 2018,13542.7
Mon Jan 15 00:14:22 2018,13598.1
Mon Jan 15 00:09:22 2018,13657.2
Mon Jan 15 00:04:20 2018,13706.4
Sun Jan 14 23:59:21 2018,13704.7
Sun Jan 14 23:54:21 2018,13696.4
Sun Jan 14 23:49:22 2018,13699.7
Sun Jan 14 23:44:22 2018,13659.6
Sun Jan 14 23:39:22 2018,13681.8
Sun Jan 14 23:34:21 2018,13629.7
Sun Jan 14 23:29:22 2018,13640.3
Sun Jan 14 23:24:21 2018,13671
Sun Jan 14 23:19:21 2018,13707.9
Sun Jan 14 23:14:22 2018,13698.5
Sun Jan 14 23:09:21 2018,13742.1
Sun Jan 14 23:04:21 2018,13743.4
Sun Jan 14 22:59:21 2018,13725.9
Sun Jan 14 22:54:22 2018,13658.3
Sun Jan 14 22:49:21 2018,13638.7
Sun Jan 14 22:44:21 2018,13639.8
Sun Jan 14 22:39:21 2018,13642.8
Sun Jan 14 22:34:21 2018,13645.3
Sun Jan 14 22:29:21 2018,13592.3
Sun Jan 14 22:24:21 2018,13576.1
Sun Jan 14 22:19:21 2018,13542.8
Sun Jan 14 22:14:19 2018,13474.7
Sun Jan 14 22:09:21 2018,13423.6
Sun Jan 14 22:04:21 2018,13474
Sun Jan 14 21:59:22 2018,13476.2
Sun Jan 14 21:54:21 2018,13435
Sun Jan 14 21:49:21 2018,13444
Sun Jan 14 21:44:21 2018,13500.7
Sun Jan 14 21:39:20 2018,13528.3
Sun Jan 14 21:34:21 2018,13544.5
Sun Jan 14 21:29:21 2018,13524.5
Sun Jan 14 21:24:21 2018,13524.4
Sun Jan 14 21:19:22 2018,13538.5
Sun Jan 14 21:14:22 2018,13633.3
Sun Jan 14 21:09:21 2018,13657.2
Sun Jan 14 21:04:21 2018,13698.4
Sun Jan 14 20:59:21 2018,13704.4
Sun Jan 14 20:54:21 2018,13709.2
Sun Jan 14 20:49:22 2018,13702.5
Sun Jan 14 20:44:22 2018,13684.4
Sun Jan 14 20:39:21 2018,13713.3
Sun Jan 14 20:34:21 2018,13691.1
Sun Jan 14 20:29:21 2018,13721.3
Sun Jan 14 20:24:18 2018,13722.5
Sun Jan 14 20:19:22 2018,13761.6
Sun Jan 14 20:14:21 2018,13738.5
Sun Jan 14 20:09:22 2018,13733.4
Sun Jan 14 20:04:21 2018,13772.2
Sun Jan 14 19:59:21 2018,13808.8
