date,price
Mon Jan 15 11:59:09 2018,1351.98
Mon Jan 15 11:54:09 2018,1350.83
Mon Jan 15 11:49:10 2018,1348.71
Mon Jan 15 11:44:10 2018,1343.53
Mon Jan 15 11:39:10 2018,1338.4
Mon Jan 15 11:34:10 2018,1336.47
Mon Jan 15 11:29:08 2018,1337.76
Mon Jan 15 11:24:09 2018,1337.8
Mon Jan 15 11:19:11 2018,1338.44
Mon Jan 15 11:14:10 2018,1346.52
Mon Jan 15 11:09:10 2018,1351.62
Mon Jan 15 11:04:10 2018,1356.66
Mon Jan 15 10:59:09 2018,1364.03
Mon Jan 15 10:54:09 2018,1366.05
Mon Jan 15 10:49:10 2018,1366.62
Mon Jan 15 10:44:10 2018,1365.58
Mon Jan 15 10:39:09 2018,1362.48
Mon Jan 15 10:34:09 2018,1361.69
Mon Jan 15 10:29:08 2018,1367.6
Mon Jan 15 10:24:10 2018,1373.47
Mon Jan 15 10:19:09 2018,1384.03
Mon Jan 15 10:14:09 2018,1388.38
Mon Jan 15 10:09:10 2018,1385.5
Mon Jan 15 10:04:09 2018,1390.49
Mon Jan 15 09:59:10 2018,1390.59
Mon Jan 15 09:54:09 2018,1389.18
Mon Jan 15 09:49:10 2018,1387.95
Mon Jan 15 09:44:10 2018,1383.65
Mon Jan 15 09:39:09 2018,1379.27
Mon Jan 15 09:34:10 2018,1376.15
Mon Jan 15 09:29:09 2018,1372.13
Mon Jan 15 09:24:10 2018,1372.08
Mon Jan 15 09:19:09 2018,1368.86
Mon Jan 15 09:14:11 2018,1366.25
Mon Jan 15 09:09:10 2018,1365.17
Mon Jan 15 09:04:10 2018,1365.21
Mon Jan 15 08:34:10 2018,1373.01
Mon Jan 15 08:29:10 2018,1368.1
Mon Jan 15 08:24:09 2018,1363.19
Mon Jan 15 08:19:09 2018,1363.93
Mon Jan 15 08:14:09 2018,1361.19
Mon Jan 15 08:09:10 2018,1354.86
Mon Jan 15 08:04:09 2018,1351.45
Mon Jan 15 07:59:10 2018,1348.07
Mon Jan 15 07:54:10 2018,1342.98
Mon Jan 15 07:49:09 2018,1342.29
Mon Jan 15 07:44:10 2018,1339.39
Mon Jan 15 07:39:10 2018,1335.73
Mon Jan 15 07:34:09 2018,1335.31
Mon Jan 15 07:29:09 2018,1335.89
Mon Jan 15 07:24:10 2018,1333.44
Mon Jan 15 07:19:10 2018,1334.03
Mon Jan 15 07:14:11 2018,1332.5
Mon Jan 15 07:09:09 2018,1330.07
Mon Jan 15 07:04:09 2018,1330.51
Mon Jan 15 06:59:10 2018,1330.05
Mon Jan 15 06:54:10 2018,1330.37
Mon Jan 15 06:49:10 2018,1330.91
Mon Jan 15 06:44:09 2018,1333.49
Mon Jan 15 06:39:09 2018,1335.34
Mon Jan 15 06:34:09 2018,1332.23
Mon Jan 15 06:29:09 2018,1330.89
Mon Jan 15 06:24:10 2018,1330.11
Mon Jan 15 06:19:09 2018,1330.13
Mon Jan 15 06:14:10 2018,1330.09
Mon Jan 15 06:09:09 2018,1333.66
Mon Jan 15 06:04:10 2018,1335.37
Mon Jan 15 05:59:10 2018,1336.32
Mon Jan 15 05:54:09 2018,1332.19
