date,price,buy_volume,sell_volume,sum_buy,sum_sell,sum_volume
Mon Jan 15 20:29:23 2018,13904.8,0,0,0,0,0
Mon Jan 15 20:24:22 2018,13904.3,0,0,0,0,0
Mon Jan 15 20:19:22 2018,13908.1,0,0,0,0,0
Mon Jan 15 20:14:22 2018,13960.6,0,0,0,0,0
Mon Jan 15 20:09:22 2018,13933.6,0,0,0,0,0
Mon Jan 15 20:04:23 2018,13911.8,0,0,0,0,0
Mon Jan 15 19:59:21 2018,13932.7,0,0,0,0,0
Mon Jan 15 19:54:24 2018,13900.4,0,0,0,0,0
Mon Jan 15 19:49:22 2018,13890.8,0,0,0,0,0
Mon Jan 15 19:44:23 2018,13897.9,0,0,0,0,0
Mon Jan 15 19:39:23 2018,13884.8,0,0,0,0,0
Mon Jan 15 19:34:21 2018,13891.8,0,0,0,0,0
Mon Jan 15 19:29:21 2018,13874.6,0,0,0,0,0
Mon Jan 15 19:24:22 2018,13897.6,1,0,13897.6,0,1
Mon Jan 15 19:19:21 2018,13887.0,0,0,0,0,0
Mon Jan 15 19:14:22 2018,13872.3,0,0,0,0,0
Mon Jan 15 19:09:22 2018,13845.2,0,1,0,13845.2,-1
Mon Jan 15 19:04:22 2018,13847.0,0,0,0,0,1
Mon Jan 15 18:59:21 2018,13848.5,0,0,0,0,0
Mon Jan 15 18:54:22 2018,13857.9,1,0,13857.9,0,1
Mon Jan 15 18:49:21 2018,13788.9,0,0,0,0,0
Mon Jan 15 18:44:22 2018,13753.0,0,0,0,0,0
Mon Jan 15 18:39:22 2018,13746.5,0,0,0,0,0
Mon Jan 15 18:34:22 2018,13766.3,0,0,0,0,0
Mon Jan 15 18:29:22 2018,13774.7,0,0,0,0,0
Mon Jan 15 18:24:22 2018,13765.2,0,0,0,0,0
Mon Jan 15 18:19:22 2018,13797.3,1,0,13797.3,0,1
Mon Jan 15 18:14:22 2018,13788.4,0,0,0,0,0
Mon Jan 15 18:09:22 2018,13781.4,0,0,0,0,0
Mon Jan 15 18:04:21 2018,13766.1,0,0,0,0,0
Mon Jan 15 17:59:19 2018,13782.0,0,0,0,0,0
Mon Jan 15 17:54:23 2018,13722.0,0,0,0,0,0
Mon Jan 15 17:49:22 2018,13737.4,0,0,0,0,0
Mon Jan 15 17:44:21 2018,13775.2,0,0,0,0,0
Mon Jan 15 17:39:22 2018,13771.8,0,0,0,0,0
Mon Jan 15 17:34:22 2018,13824.5,0,0,0,0,0
Mon Jan 15 17:29:22 2018,13831.8,1,0,13831.8,0,1
Mon Jan 15 17:24:21 2018,13813.3,0,0,0,0,0
Mon Jan 15 17:19:21 2018,13802.0,0,0,0,0,0
Mon Jan 15 17:14:22 2018,13781.4,0,1,0,13781.4,-1
Mon Jan 15 17:09:22 2018,13796.6,0,1,0,13796.6,0
Mon Jan 15 17:04:21 2018,13834.5,0,1,0,13834.5,0
Mon Jan 15 16:59:22 2018,13851.9,0,1,0,13851.9,0
Mon Jan 15 16:54:22 2018,13852.3,0,1,0,13852.3,0
Mon Jan 15 16:49:23 2018,13871.8,0,0,0,0,1
Mon Jan 15 16:44:21 2018,13884.1,0,0,0,0,0
Mon Jan 15 16:39:22 2018,13888.6,0,0,0,0,0
Mon Jan 15 16:34:22 2018,13872.8,0,1,0,13872.8,-1
Mon Jan 15 16:29:22 2018,13914.8,0,1,0,13914.8,0
Mon Jan 15 16:24:21 2018,13928.7,0,0,0,0,1
Mon Jan 15 16:19:20 2018,13933.5,0,0,0,0,0
Mon Jan 15 16:14:22 2018,13958.4,0,0,0,0,0
Mon Jan 15 16:09:22 2018,13945.0,0,0,0,0,0
Mon Jan 15 16:04:22 2018,13946.3,0,0,0,0,0
Mon Jan 15 15:59:21 2018,13945.0,0,0,0,0,0
Mon Jan 15 15:54:22 2018,13925.3,0,0,0,0,0
Mon Jan 15 15:49:22 2018,13940.5,0,0,0,0,0
Mon Jan 15 15:44:23 2018,13947.1,1,0,13947.1,0,1
Mon Jan 15 15:39:21 2018,13928.3,1,0,13928.3,0,1
Mon Jan 15 15:34:22 2018,13925.0,1,0,13925.0,0,1
Mon Jan 15 15:29:23 2018,13889.9,1,0,13889.9,0,1
Mon Jan 15 15:24:22 2018,13872.5,1,0,13872.5,0,1
Mon Jan 15 15:19:22 2018,13853.8,1,0,13853.8,0,1
Mon Jan 15 15:14:22 2018,13828.2,0,0,0,0,0
Mon Jan 15 15:09:22 2018,13818.1,0,0,0,0,0
Mon Jan 15 15:04:23 2018,13776.2,0,0,0,0,0
Mon Jan 15 14:59:22 2018,13780.0,1,0,13780.0,0,1
Mon Jan 15 14:54:23 2018,13757.5,1,0,13757.5,0,1
Mon Jan 15 14:49:22 2018,13744.2,0,0,0,0,0
Mon Jan 15 14:44:23 2018,13738.8,0,0,0,0,0
Mon Jan 15 14:39:23 2018,13716.7,0,1,0,13716.7,-1
Mon Jan 15 14:34:21 2018,13720.1,0,0,0,0,1
Mon Jan 15 14:29:22 2018,13742.9,0,0,0,0,0
Mon Jan 15 14:24:22 2018,13783.0,0,0,0,0,0
Mon Jan 15 14:19:21 2018,13777.6,0,0,0,0,0
Mon Jan 15 14:14:22 2018,13788.2,0,0,0,0,0
Mon Jan 15 14:09:22 2018,13765.8,0,1,0,13765.8,-1
Mon Jan 15 14:04:22 2018,13775.9,0,0,0,0,1
Mon Jan 15 13:59:22 2018,13802.2,0,0,0,0,0
Mon Jan 15 13:54:22 2018,13809.9,1,0,13809.9,0,1
Mon Jan 15 13:49:22 2018,13801.7,1,0,13801.7,0,1
Mon Jan 15 13:44:21 2018,13782.6,0,0,0,0,0
Mon Jan 15 13:39:22 2018,13749.5,0,0,0,0,0
Mon Jan 15 13:34:22 2018,13742.4,0,1,0,13742.4,-1
Mon Jan 15 13:29:22 2018,13747.5,0,0,0,0,1
Mon Jan 15 13:24:22 2018,13759.7,0,0,0,0,0
Mon Jan 15 13:19:22 2018,13769.7,1,0,13769.7,0,1
Mon Jan 15 13:14:22 2018,13754.6,1,0,13754.6,0,1
Mon Jan 15 13:09:23 2018,13737.1,1,0,13737.1,0,1
Mon Jan 15 13:04:22 2018,13730.7,1,0,13730.7,0,1
Mon Jan 15 12:59:22 2018,13713.4,1,0,13713.4,0,1
Mon Jan 15 12:54:22 2018,13702.3,1,0,13702.3,0,1
Mon Jan 15 12:49:22 2018,13670.1,0,0,0,0,0
Mon Jan 15 12:44:22 2018,13654.6,0,0,0,0,0
Mon Jan 15 12:39:22 2018,13643.8,0,0,0,0,0
Mon Jan 15 12:34:23 2018,13665.4,0,0,0,0,0
Mon Jan 15 12:29:21 2018,13682.2,0,0,0,0,0
Mon Jan 15 12:24:22 2018,13651.4,0,0,0,0,0
Mon Jan 15 12:19:22 2018,13641.7,0,1,0,13641.7,-1
Mon Jan 15 12:14:22 2018,13652.3,0,1,0,13652.3,0
Mon Jan 15 12:09:22 2018,13715.3,0,0,0,0,1
Mon Jan 15 12:04:23 2018,13740.4,0,0,0,0,0
Mon Jan 15 11:59:23 2018,13747.8,1,0,13747.8,0,1
Mon Jan 15 11:54:22 2018,13734.0,0,0,0,0,0
Mon Jan 15 11:49:22 2018,13690.9,0,0,0,0,0
Mon Jan 15 11:44:21 2018,13670.7,0,1,0,13670.7,-1
Mon Jan 15 11:39:19 2018,13678.6,0,0,0,0,1
Mon Jan 15 11:34:22 2018,13707.2,0,0,0,0,0
Mon Jan 15 11:29:21 2018,13739.4,0,0,0,0,0
